Year_Week,Donor_Segment,Party,Total_Donation
2024-W52,Medium,REP,52210
2024-W52,Small,DEM,15705
2024-W52,Small,REP,40429
2025-W01,Large,DEM,56756
2025-W01,Large,REP,90314
2025-W01,Medium,DEM,19964
2025-W01,Medium,REP,38677
2025-W01,Small,DEM,6888
2025-W01,Small,REP,27154
2025-W02,Large,DEM,149365
2025-W02,Large,REP,126026
2025-W02,Medium,DEM,25046
2025-W02,Medium,REP,49673
2025-W02,Small,DEM,18115
2025-W02,Small,REP,51468
2025-W03,Large,DEM,196124
2025-W03,Large,REP,180948
2025-W03,Medium,DEM,48149
2025-W03,Medium,REP,72005
2025-W03,Small,DEM,40329
2025-W03,Small,REP,41537
2025-W04,Large,DEM,228271
2025-W04,Large,REP,144730
2025-W04,Medium,DEM,83143
2025-W04,Medium,REP,54427
2025-W04,Small,DEM,46700
2025-W04,Small,REP,39977
2025-W05,Large,DEM,397848
2025-W05,Large,REP,237114
2025-W05,Medium,DEM,136640
2025-W05,Medium,REP,76797
2025-W05,Small,DEM,54027
2025-W05,Small,REP,69545
2025-W06,Large,DEM,466631
2025-W06,Large,REP,308670
2025-W06,Medium,DEM,158426
2025-W06,Medium,REP,62502
2025-W06,Small,DEM,47330
2025-W06,Small,REP,61152
2025-W07,Large,DEM,429582
2025-W07,Large,REP,190532
2025-W07,Medium,DEM,122731
2025-W07,Medium,REP,71770
2025-W07,Small,DEM,59443
2025-W07,Small,REP,72053
2025-W08,Large,DEM,557486
2025-W08,Large,REP,298016
2025-W08,Medium,DEM,171217
2025-W08,Medium,REP,83216
2025-W08,Small,DEM,60819
2025-W08,Small,REP,54830
2025-W09,Large,DEM,746628
2025-W09,Large,REP,266460
2025-W09,Medium,DEM,292090
2025-W09,Medium,REP,79052
2025-W09,Small,DEM,82498
2025-W09,Small,REP,93675
2025-W10,Large,DEM,772081
2025-W10,Large,REP,326089
2025-W10,Medium,DEM,214108
2025-W10,Medium,REP,121767
2025-W10,Small,DEM,84521
2025-W10,Small,REP,72941
2025-W11,Large,DEM,769062
2025-W11,Large,REP,323780
2025-W11,Medium,DEM,233843
2025-W11,Medium,REP,114254
2025-W11,Small,DEM,122520
2025-W11,Small,REP,73514
2025-W12,Large,DEM,1048783
2025-W12,Large,REP,495069
2025-W12,Medium,DEM,276889
2025-W12,Medium,REP,125400
2025-W12,Small,DEM,135391
2025-W12,Small,REP,56871
2025-W13,Large,DEM,1616768
2025-W13,Large,REP,1067161
2025-W13,Medium,DEM,417847
2025-W13,Medium,REP,142807
2025-W13,Small,DEM,201830
2025-W13,Small,REP,98850
2025-W14,Large,DEM,1550278
2025-W14,Large,REP,961639
2025-W14,Medium,DEM,374190
2025-W14,Medium,REP,176136
2025-W14,Small,DEM,201831
2025-W14,Small,REP,82772
2025-W15,Large,DEM,397244
2025-W15,Large,REP,512948
2025-W15,Medium,DEM,101118
